c1,ecosystem_tenure,review_tenure,reviews,added_lines,removed_lines,no_files,sources,blocking_tenure,blocking_activity
7093,1,1,40,40,40,40,1,0,1
7094,3,3,615,0,7650,615,1,2,1
7095,1,1,81,1395,405,81,1,0,1
7096,1,1,10,10,10,10,1,0,1
7097,1,0,10,20,10,10,1,0,1
7098,1,1,4725,26925,23775,4725,1,0,1
7099,1,1,20,60,100,20,1,0,1
7100,0,0,6,6,6,6,1,0,1
7101,0,0,12,240,252,12,0,0,1
7102,1,0,12,444,312,12,0,0,1
7103,272,1,10,110,0,10,0,1,1
7104,29,29,140,854,140,140,0,1,1
7105,1,1,10,140,0,10,1,1,1
7106,1,1,10,140,0,10,1,1,1
7107,15,0,110,960,100,110,1,0,1
7108,28,0,40,210,60,40,1,0,1
7109,1,0,60,5148,0,60,0,0,1
7110,0,0,10,10,10,10,0,0,1
7111,6,6,24,60,36,24,0,0,1
7112,6,6,30,48,48,30,0,0,1
7113,6,6,36,66,66,36,0,0,1
7114,6,6,18,24,24,18,0,0,1
7115,2,2,6,24,6,6,0,0,1
7116,22,21,3350,279875,18025,3350,1,0,1
7117,0,0,30,20,180,30,1,0,1
7118,2,0,20,2630,270,20,0,0,1
7119,1,1,264,1089,528,264,1,0,1
7120,1,0,40,670,0,40,1,0,1
7121,1,1,264,1089,528,264,1,0,1
7122,0,0,6,6,6,6,0,0,1
7123,41,2,230,2770,2340,230,0,0,1
7124,1,1,78,130,52,78,1,0,1
7125,11,7,42,189,84,42,1,0,1
7126,1,1,130,220,100,130,1,0,1
7127,1,1,108,1809,0,108,1,0,1
7128,16,14,8,16,0,8,1,0,1
7129,7,7,30,250,90,30,1,0,1
7130,2,2,96,6168,2600,96,1,0,1
7131,5,1,10,100,0,10,1,0,1
7132,5,1,20,1010,20,20,1,0,1
7133,5,5,18,36,0,18,1,0,1
7134,13,5,20,50,30,20,1,0,1
7135,28,8,40,210,60,40,1,0,1
7136,7,7,30,290,130,30,1,0,1
7137,6,2,10,40,40,10,0,0,1
7138,5,1,10,100,0,10,1,0,1
7139,2,2,10,20,10,10,0,0,1
7140,5,1,20,1010,20,20,1,0,1
7141,0,0,480,11976,12464,480,1,0,1
7142,2,1,20,410,100,20,1,0,1
7143,1,1,96,144,800,96,1,0,1
7144,1,1,100,110,0,100,1,0,1
7145,1,1,12,120,24,12,0,0,1
7146,1,1,32,5664,320,32,0,0,1
7147,0,0,12,168,12,12,0,0,1
7148,0,0,12,102,60,12,0,0,1
7149,0,0,6,102,60,6,0,0,1
7150,0,0,6,24,6,6,0,0,1
7151,0,0,12,12,12,12,1,0,1
7152,4,0,12,432,282,12,0,0,1
7153,0,0,72,408,408,72,1,0,1
7154,0,0,27,54,0,27,1,0,1
7155,16,16,16,32,16,16,0,16,1
7156,1,1,32,48,48,32,1,0,1
7157,15,15,4950,65065,98340,4950,1,0,1
7158,25,25,180,820,240,180,1,0,1
7159,1,1,18,36,36,18,0,0,1
7160,0,0,10,20,0,10,1,0,1
7161,4,4,2370,8430,1860,2370,1,0,1
7162,1,1,36,84,576,36,0,0,1
7163,1,1,30,70,480,30,0,0,1
7164,1,1,224,1470,672,224,1,0,1
7165,0,0,10,260,260,10,1,0,1
7166,1,1,208,936,2132,208,1,0,1
7167,1,1,84,168,252,84,1,0,1
7168,1,1,96,300,300,96,1,0,1
7169,1,1,20,70,260,20,1,0,1
7170,1,1,30,30,30,30,1,0,1
7171,3,3,50,90,370,50,1,0,1
7172,1,1,96,6816,2888,96,1,0,1
7173,1,1,27,1134,1134,27,1,0,1
